#    distance           U_x           U_y           U_z
  2.31296e-19      0.556583  -2.10445e-18     -0.533392
        0.002      0.769423   1.18033e-18     -0.717364
        0.004      0.982263   3.47665e-19     -0.901336
        0.006             1   2.18012e-18         -0.88
        0.008             1   3.01279e-18         -0.84
         0.01             1   2.03447e-18          -0.8
        0.012             1  -6.78827e-17         -0.76
        0.014             1  -1.01145e-16         -0.72
        0.016             1   1.83965e-18         -0.68


        0.018             1   1.97735e-16         -0.64
         0.02             1    1.8677e-16          -0.6
        0.022             1   1.87117e-16         -0.56
        0.024             1   1.32633e-16         -0.52
        0.026             1   1.87117e-16         -0.48
        0.028             1   1.87117e-16         -0.44
         0.03             1   1.39936e-16          -0.4
        0.032             1   1.39104e-16         -0.36
        0.034             1   1.65495e-16         -0.32
        0.036             1   1.65495e-16         -0.28
        0.038             1   1.72513e-16         -0.24
         0.04             1   1.73345e-16          -0.2
        0.042             1   1.75095e-16         -0.16
        0.044             1   1.85174e-16         -0.12
        0.046             1   1.83787e-16         -0.08
        0.048             1   1.85452e-16         -0.04
         0.05             1   1.87117e-16   4.62593e-17
        0.052             1   1.87117e-16          0.04
        0.054             1   1.87117e-16          0.08
        0.056             1   1.95086e-16          0.12
        0.058             1   2.04956e-16          0.16
         0.06             1   1.88505e-16           0.2
        0.062             1   2.09189e-16          0.24
        0.064             1   2.18304e-16          0.28
        0.066             1    1.9999e-16          0.32
        0.068             1   1.85938e-16          0.36
         0.07             1    2.3177e-16           0.4
        0.072             1   2.13426e-16          0.44
        0.074             1   2.46285e-16          0.48
        0.076             1   2.19585e-16          0.52
        0.078             1   1.87117e-16          0.56
         0.08             1   2.30808e-16           0.6
        0.082             1   2.29976e-16          0.64
        0.084             1    2.2504e-16          0.68
        0.086             1   1.85383e-16          0.72
        0.088             1   2.51658e-16          0.76
         0.09             1   1.86423e-16           0.8
        0.092             1   1.48067e-16          0.84
        0.094             1   1.87117e-16          0.88
        0.096      0.982263   2.30018e-16      0.901336
        0.098      0.769423   1.87117e-16      0.717364
          0.1      0.556583   2.30018e-16      0.533392
